# word	synonyms (comma-separated)
anxious	dying,queasy
anxiously	apprehensively,uneasily
anxiousness	anxiety
any-longer	anymore
anyhow	anyway,anyways,at-any-rate,in-any-case,in-any-event
anymore	any-longer
anyplace	anywhere
anyway	anyhow,anyways,at-any-rate,in-any-case,in-any-event
anyways	anyhow,anyway
anywhere	anyplace
aortal	aortic
aortic	aortal
aotus	genus-aotus
aoudad	ammotragus-lervia,arui,audad,barbary-sheep,maned-sheep
apace	chop-chop,quickly,rapidly,speedily
apar	three-banded-armadillo,tolypeutes-tricinctus
apartment	flat
apathy	indifference,numbness,spiritlessness
ape	aper
apelike	apish
aper	ape,copycat,emulator,imitator
aperea	cavia-porcellus,wild-cavy
aperient	physic
apery	mimicry
apex	acme,peak,vertex
aphis	genus-aphis
apiary	bee-house
apidae	family-apidae
apiece	each,for-each-one,from-each-one,to-each-one
apios	genus-apios
apis	genus-apis
apis-mellifera	honeybee
apish	apelike
apium	genus-apium
aplomb	assuredness,cool,poise,sang-froid
aplysia	tethys
apneic	apnoeic
apnoeic	apneic
apodal	apodous
apodous	apodal
apogee	culmination
apogon	genus-apogon
apologue	allegory,parable
apomictic	agamic
apoplexy	cva
apostle-of-the-gentiles	paul,saul
apostle-paul	paul,saul
apostolic	apostolical,papal
apostolical	apostolic,papal
apothecaries'-ounce	ounce
apothecary's-shop	drugstore
appal	alarm,appall,dismay,horrify,outrage
appall	appal,outrage
appalled	aghast
appalling	dismaying
apparatus	setup
apparel	clothes
appareled	attired,dressed,garbed,robed
apparent	evident,manifest,patent,plain,seeming,unmistakable
apparent-horizon	horizon
apparently	evidently,obviously,on-the-face-of-it,ostensibly,plainly,seemingly
apparition	phantom
apparitional	ghostly
appeal	charm,entreaty,prayer
appealingness	charm
appear	seem
appearance	visual-aspect
appease	assuage,conciliate,gentle,gruntle,lenify,mollify,pacify,placate
appellative	naming
append	add-on,affix,supplement
appetence	appetite
appetency	appetite
appetite	appetence,appetency
applaud	acclaim,clap,spat
applause	clapping,hand-clapping
applesauce	tripe
appliance	gadget,gismo,gizmo,widget
applicant	applier
application	practical-application
applied-scientist	engineer
applier	applicant
apply	employ,enforce,use,utilise,utilize
appoint	constitute,name,nominate
appointment	assignment,designation,naming
apportion	allocate
apportionable	allocable
apposite	apt
appraisal	assessment
appraise	assess,evaluate,survey
appreciation	grasp,hold
apprehend	arrest,comprehend,grok,nab,savvy
apprehension	understanding
apprehensively	anxiously,uneasily
apprentice	learner,prentice
apprise	notify
apprize	notify
approach	access,come-near,come-on,draw-close,draw-near,go-up,near
approaching	coming
appropriately	fitly,suitably
approval	approving,blessing
approve	okay,sanction
approved	sanctioned
approving	approval
approximate	estimate,gauge
approximately	about,around,close-to,just-about,more-or-less,or-so,roughly,some
apr	april
apricot	peach
april	apr
apse	apsis
apsis	apse
apt	apposite,liable,pertinent
apteryx	kiwi
aptly	ably,capably,competently
apus	genus-apus
aqaba	akaba,al-aqabah
aqua	aquamarine,cobalt-blue,greenish-blue,peacock-blue,turquoise
aqua-lung	scuba
aqualung	scuba
aquamarine	aqua
aquila	genus-aquila
ar	are,argon,arkansas,land-of-opportunity
ar-rimsal	dahna
ara	genus-ara
arab	arabian
arab-republic-of-egypt	egypt
arabian	arab
arabian-tea	kat,khat,qat,quat
arable	cultivable,cultivatable,tillable
araceous	aroid
arachnidian	spidery
arachnoid	spidery
arak	arrack
aramus	genus-aramus
aranea	araneus,genus-aranea,genus-araneus
araneus	aranea
aras	araxes
arava	leflunomide
araxes	aras
arb	arbitrager,arbitrageur
arbitrager	arb
arbitrageur	arb
arbitrarily	randomly
arbitrariness	whimsy
arbor	arbour,bower,pergola
arboraceous	woodsy
arboreous	woodsy
arbour	arbor,bower,pergola
arc	arch,discharge,electric-arc,electric-discharge,spark
arca	genus-arca
arcade	colonnade
arcadian	bucolic
arced	arched,arching,arciform,arcuate,bowed
arch	arc,curve,impish,implike,puckish
arched	arced,arching,arciform,arcuate,bowed
archimandrite	abbot
arching	arced,arched,arciform,arcuate,bowed
architect	designer
arciform	arced,arched,arching
arctic	arctic-zone,galosh,gelid,golosh,north-frigid-zone
arctic-zone	arctic
arcuate	arced,arched,arching
arcus	arcus-senilis
arcus-senilis	arcus
arcus-zygomaticus	zygoma
ardea	genus-ardea
ardent	fervent,fervid,fiery,impassioned,perfervid,torrid
ardor	ardour,elan,fervor,zeal
ardour	ardor,fervor
ards	wet-lung,white-lung
arduous	backbreaking,grueling,gruelling,hard,heavy,laborious,operose,punishing
are	ar
area	arena,country,domain
arena	area,domain,field,orbit,sphere,stadium
areola	ring-of-color
arere	obeche,obechi,samba
argal	argali,ovis-ammon
argali	argal,ovis-ammon
argent	silver,silverish,silvery
argillaceous	clayey
argon	ar
argonne	meuse
argonne-forest	meuse
argot	cant,jargon,lingo,patois,slang,vernacular
arguable	moot
argue	reason
argufy	quarrel
arguing	controversy
argument	controversy,debate,statement
argumentation	debate
argun	argun-river,ergun-he
argun-river	argun
argus	argus-pheasant
argus-eyed	wakeful
argus-pheasant	argus
argyle	argyll
argyll	argyle
arhant	arhat,lohan
arhat	arhant,lohan
arhus	aarhus
arid	desiccate,desiccated
aridity	barrenness,fruitlessness
aries	aries-the-ram,ram
aries-the-ram	aries
aright	correctly,right
ariled	arillate
arillate	ariled
arilus	genus-arilus
ariose	songlike
arise	develop,grow,originate,rise,spring-up,stand-up,uprise
arishth	neem
aristocracy	gentry
arius	genus-arius
arizona	az
arkansas	ar,land-of-opportunity
arles	earnest-money
arm	branch,gird,sleeve,weapon
arm-band	armlet
armament	arming
armed-bullhead	pogge
armed-combat	combat
armed-islamic-group	gia
armed-robbery	holdup
armin	arminius,hermann
arming	armament,equipping
arminius	armin
armistice	truce
armlet	arm-band
armor	armour
armored	armoured
armored-combat-vehicle	tank
armory	armoury,arsenal
armour	armor
armoured	armored
armoured-combat-vehicle	tank
armoury	armory
armpit	axilla,axillary-cavity,axillary-fossa
arms	blazon,implements-of-war,munition,weaponry,weapons-system
army	ground-forces,regular-army,usa
army-corps	corps
army-hut	hut
army-national-guard	arng
army-of-muhammad	jem
army-tank	tank
arng	army-national-guard
arno	arno-river,river-arno
arno-river	arno
aroid	araceous,arum
aroma	odor,odour,olfactory-property,scent,smell
arouet	voltaire
around	about,approximately,roughly
arousal	rousing
arouse	awaken,elicit,enkindle,evoke,fire,invoke,kindle,provoke,raise,waken
aroused	ablaze,aflame,excited,randy,steamy,stimulated,stirred,stirred-up
arp	hans-arp,jean-arp
arquebus	hagbut
arrack	arak
arrange	set-up
arranged	ordered,staged
arrangement	agreement,placement
arrant	complete,consummate,double-dyed,everlasting,gross,perfect,pure,sodding
arras	tapestry
arrest	apprehend,collar,cop,halt,nab,nail,pick-up
arrival	reaching
arrive	come,get
arrive-at	reach
arrivederci	adieu,adios,bye,goodby
arrogant	chesty
arrogate	usurp
arrow	pointer
arse	arsehole,ass,asshole,bunghole,buns,nates,prat,tush
arse-about	loll
arse-around	loll
arsehole	arse
arsenal	armory
arson	fire-raising,incendiarism
art	fine-art,prowess
art-deco	deco
art-tatum	tatum
arteria	artery
arterial-blood-vessel	artery
artery	arteria,arterial-blood-vessel
artfully	foxily,slyly
arthritic	creaky,rheumy
arthur-ashe	ashe
arthur-evans	evans
arthur-marx	harpo
arthur-robert-ashe	ashe
arthur-tatum	tatum
article-of-clothing	clothing
article-of-faith	conviction
article-of-furniture	furniture
articulatio-coxae	coxa
articulatio-cubiti	elbow
articulatio-genus	genu,knee
articulatio-radiocarpea	carpus,wrist
artifice	ruse
artificial	hokey,stilted,unreal
artificial-insemination	ai
artificial-satellite	satellite
artillery	gun,heavy-weapon,ordnance
artilleryman	gunner
artist	creative-person
artistry	prowess
artium-baccalaurens	ab,ba
artlessness	innocence
arts	humanistic-discipline,humanities,liberal-arts
artsd	doctor-of-arts
arui	ammotragus-lervia,aoudad,audad,barbary-sheep,maned-sheep
arum	aroid
aryan	indo-aryan,indo-european
as	equally,every-bit
as-a-matter-of-fact	in-fact
as-luck-would-have-it	luckily
as-needed	prn
as-required	prn
as-well	also,besides,likewise,too
as-yet	heretofore,hitherto
asadha	asarh
asala	orly-group
asama	mount-asama
asarh	asadha
asat	antisatellite
ascend	go-up
ascending	ascent
ascension	ascent
ascent	ascending,ascension,rise
ascertain	determine,find,find-out,insure
ascertained	observed
asch	shalom-asch,sholem-asch,sholom-asch
ascribe	assign,attribute,impute
asdic	echo-sounder,sonar
asea	seaward,seawards
ash-bin	ashbin,ashcan,dustbin
ash-gray	ashy
ash-grey	ashy
ashbin	ash-bin,ashcan,dustbin,garbage-can,trash-barrel,trash-bin,trash-can,wastebin
ashcan	ash-bin,ashbin,dustbin,garbage-can,trash-barrel,trash-bin,trash-can,wastebin
ashe	arthur-ashe,arthur-robert-ashe
ashen	blanched,bloodless,livid,white
ashir	ashur
ashur	ashir,assur,asur
ashy	ash-gray,ash-grey
asian	asiatic
asiatic	asian
asin	asvina
asinine	inane
asio	genus-asio
ask	inquire,necessitate,require
ask-for	invite
askance	askant,sidelong
askant	askance,asquint,sidelong,squint,squint-eyed,squinty
asker	enquirer,inquirer,querier,questioner
askew	awry,cockeyed,lopsided,skew-whiff,wonky
asl	american-sign-language
aslant	aslope,diagonal,slanted,slanting,sloped,sloping
asleep	deceased,numb
aslope	aslant,diagonal,slanted,slanting,sloped,sloping
asp	egyptian-cobra,naja-haje
asparaginase	elspar
aspect	expression,facet,vista
aspen-poplar	abele
asperity	rigor
aspiration	ambition
aspire	aim,draw-a-bead-on,shoot-for
aspirin	acetylsalicylic-acid,bayer,empirin,st
aspis	genus-aspis,genus-cerastes
asquint	askant,sidelong
ass	arse,backside,bum,buns,butt,buttocks,can,fuck,nates,nookie,nooky,screw
ass-kisser	toady
assail	assault,attack,set-on
assailant	attacker
assassin	assassinator,bravo
assassinator	assassin
assault	assail,attack,rape,set-on
assaulter	attacker
assay	attempt,check,try
assemblage	collection,gathering
assemble	piece,put-together,set-up,tack,tack-together
assembly	fabrication,forum,gathering
assent	acquiescence
assert	asseverate,aver,maintain
assess	appraise,evaluate,measure,valuate,value
assessment	appraisal
asset	plus
asseverate	assert
asshole	arse,bastard
assign	allot,ascribe,attribute,impute,portion
assignation	tryst
assignment	appointment,duty-assignment
assist	aid,assistance,help
assistance	aid,assist,help
assistant	help,helper,supporter
assisted	aided
associate	colligate,companion,comrade,connect,consort,link,link-up,relate,tie-in
associate-in-arts	aa
associate-in-nursing	an
association-football	soccer
assoil	acquit
assort	classify,consort
assorted	mixed,sundry,various
assortment	classification,variety
assouan	aswan
assuage	allay,appease,pacify,quench,relieve
assuagement	relief
assuan	aswan
assume	don,presume,take-for-granted,usurp
assumed	fictive
assumed-name	dba
assumption	premise,premiss
assur	ashur,asur
assurance	authority,confidence,self-assurance,self-confidence,sureness
assure	ensure,guarantee,insure,promise,reassure,secure
assuredness	aplomb
asterisk	star
astern	abaft,aft
asthmatic	wheezy
astir	about
astonied	amazed,astonished,stunned
astonish	amaze,astound
astonished	amazed,astonied,astounded,stunned
astonishment	amazement
astor	john-jacob-astor
astound	amaze,astonish
astounded	amazed,astonished,stunned
astraddle	astride
astragal	talus
astragalus	talus
astral	stellar
astride	astraddle
astronomical-unit	au
astute	sharp,shrewd
asur	ashur,assur
asvina	asin
aswan	assouan,assuan
asylum	insane-asylum,institution,mental-home,mental-hospital,mental-institution,psychiatric-hospital
at-a-loss	puzzled
at-a-lower-place	below,beneath
at-all	in-the-least,the-least-bit
at-any-rate	anyhow,anyway
at-bay	trapped,treed
at-hand	impending
at-large	escaped
at-last	at-long-last,finally,in-the-end,ultimately
at-least	at-the-least
at-long-last	at-last,ultimately
at-once	directly,forthwith,immediately,instantly,now,right-away,straight-off,straightaway
at-one-time	erst,formerly
at-peace	deceased
at-random	randomly
at-rest	deceased
at-that-place	there
at-the-least	at-least
at-the-same-time	simultaneously
at-times	occasionally
atactic	ataxic
atar	athar,attar,ottar
atarax	hydroxyzine,vistaril
ataxia	ataxy
ataxic	atactic
ataxy	ataxia,dyssynergia,motor-ataxia
ateles	genus-ateles
aten	aton
athabascan	athabaskan,athapascan,athapaskan,athapaskan-language
athabaskan	athabascan
athapascan	athabascan
athapaskan	athabascan
athapaskan-language	athabascan
athar	atar,attar,ottar
athene	genus-athene
athens	athinai,capital-of-greece,greek-capital
atherodyde	ramjet
athinai	athens
athlete	jock
athletic	gymnastic
athletic-supporter	jock
athletics	sport
athodyd	ramjet
athos	mount-athos
atilt	canted,leaning,tilted,tipped
ativan	lorazepam
atlanta	capital-of-georgia
atlantic	atlantic-ocean
atlantic-ocean	atlantic
atlas	telamon
atm	atmosphere,standard-atmosphere,standard-pressure
atmosphere	ambiance,ambience,atm,aura
atmospheric-condition	weather
atom	mote,particle
atomic	nuclear
atomic-warhead	nuke
aton	aten
atonal	unkeyed
atone	aby,abye,expiate,repent
atonia	atony
atonic	unaccented
atonicity	atony
atony	amyotonia,atonia,atonicity
atopic-allergy	atopy
atopy	atopic-allergy,immediate-allergy
atoxic	nontoxic
atp	adenosine-triphosphate
atrip	aweigh
atrocious	awful,frightful,horrible
atrophy	wasting,wasting-away
attach-to	accompany
attached	connected
attack	assail,assault,onrush
attack-aircraft-carrier	carrier
attacker	aggressor,assailant,assaulter
attain	accomplish,achieve,reach
attainment	skill
attar	atar,athar,ottar
attempt	assay,effort,essay,seek,try,undertake
attempter	trier
attend	go-to
attendant	consequent,resultant
attender	hearer,listener
attending	attention
attention	attending,tending
attention-getting	catchy
attest	certify,demonstrate,evidence,manifest,testify
attic	bonce,garret,loft,noggin,noodle
attire	dress,garb
attired	appareled,dressed,garbed,garmented,habilimented,robed
attitude	mental-attitude,posture
attorney	lawyer
attract	draw,draw-in,pull,pull-in
attractively	beautifully
attribute	ascribe,assign,impute
au	astronomical-unit
au-naturel	naked,nude
au-revoir	adieu,adios,bye,goodby
auberge	inn
auction	vendue
auction-sale	vendue
audacious	brazen,daring
audaciousness	temerity
audacity	temerity
audad	ammotragus-lervia,aoudad,arui,barbary-sheep,maned-sheep
auden	w,wystan-hugh-auden
audible	hearable
audile	auditive,auditory
audit	audited-account
audited-account	audit
audition	tryout
auditive	audile
auditor	hearer,listener
auditory	audile
auf-wiedersehen	adieu,adios,bye,goodby
aug	august
auger	gimlet,screw-auger,wimble
aught	cipher,cypher,goose-egg,nada,naught,nil,nix,nothing,null,zero,zilch,zippo
augmentin	amoxil,trimox
augur	auspicate,betoken,bode,foreshadow,omen,portend,presage,prognosticate
august	aug,lordly,revered
auguste-comte	comte
auguste-rodin	rodin
aum	aum-shinrikyo,supreme-truth
aum-shinrikyo	aum
aunt	auntie,aunty
auntie	aunt,aunty
aunty	aunt,auntie
aura	air,atmosphere,halo,nimbus
aureate	florid,gilded,gilt,golden
aureole	corona,halo,nimbus
aureomycin	chlortetracycline
auric	aurous
auricle	pinna
auricular	otic
auriparus-flaviceps	verdin
aurochs	urus,wisent
aurora	dawn,sunup
aurous	auric
auspicate	augur,bode
auspices	aegis
austere	severe,stark,stern
austin	capital-of-texas
australian-aborigine	abo
austrian-capital	vienna
authentic	bona-fide,unquestionable,veritable
authenticity	genuineness,legitimacy
author	writer
authorisation	authority,mandate,potency
authorise	authorize
authoritarianism	tyranny
authoritative	classic
authorities	government,regime
authority	agency,assurance,authorisation,authorization,bureau,confidence,dominance,potency,say-so
authorization	authority,mandate,potency
authorize	authorise,clear,pass
authorship	writing
auto	automobile,car,machine,motorcar
autobus	bus,jitney
autocrat	tyrant
autocratic	bossy
autoimmune-diabetes	iddm
automatic-washer	washer
automaton	golem,robot
automobile	auto,car,machine,motorcar
autonomy	liberty
autopsy	necropsy,pm,post-mortem,post-mortem-examination,postmortem,postmortem-examination
autumn	fall
av	ab
avahi	genus-avahi
avarice	avaritia,covetousness,greed,rapacity
avaricious	grabby,greedy
avariciously	greedily
avaritia	avarice
avena	genus-avena
avenge	retaliate,revenge
aventail	camail
aver	affirm,allege,assert,avow,swan,swear,verify
average	mean,median,medium,modal
averse	antipathetic,antipathetical,indisposed,loath,loth
aversion	distaste
avert	debar,deflect,fend-off,forefend,forfend,head-off,obviate,stave-off
aves	class-aves
avesta	zend-avesta
avestan	zend
aviary	bird-sanctuary,volary
avid	zealous
avidity	eagerness
avidness	eagerness
avocado	aguacate,alligator-pear,avocado-pear
avocado-pear	avocado
avocation	hobby
avoidance	dodging,shunning,turning-away
avouch	avow
avouchment	avowal
avow	aver,avouch
avowal	affirmation,avouchment
avowed	professed
await	expect,look,wait
awaited	anticipated,hoped-for
awake	awaken,waken
awaken	arouse,awake,come-alive,wake,wake-up,waken
award	awarding,honour,laurels,prize
awarding	award
aware	cognisant,cognizant,mindful
awareness	cognisance,cognizance,consciousness,knowingness
awash	afloat,flooded,inundated,overflowing
away	forth,off
awe-inspiring	amazing,awing
aweary	weary
awed	awestruck,awful
aweigh	atrip
aweless	awless
awesome	amazing,awing
awestricken	awestruck
awestruck	awed,awestricken
awful	abominable,amazing,atrocious,awed,awfully,awing,dire,dreadful,fearful,frightening,nasty,painful
awfully	awful,frightfully,horribly,terribly
awhile	for-a-while
awing	amazing,awe-inspiring,awesome,awful
awkward	inapt
awkwardness	slowness
awless	aweless,disrespectful
awned	awny
awning	sunblind,sunshade
awny	awned
awol	truant
awry	amiss,askew,cockeyed,lopsided,skew-whiff,wonky
ax	axe
axe	ax
axial	axile
axile	axial
axilla	armpit,axillary-cavity,axillary-fossa
axillary-cavity	armpit,axilla
axillary-fossa	armpit,axilla
axiom	maxim
axis	bloc
axon	axone
axone	axon
aythya	genus-aythya
az	arizona,grand-canyon-state
az-zarqa	zarqa
azadirachta-indica	neem
azathioprine	imuran
azoimide	hn
azotemic	uremic
azotic	nitric,nitrous
azt	retrovir,zdv,zidovudine
azure	bright-blue,cerulean,sky-blue
azygos	azygous
azygous	azygos
